Medellín,2569007,151,"0,01%"
Abejorral,18779,0,"0,00%"
Abriaquí,1870,0,"0,00%"
Alejandría,3278,1,"0,03%"
Amagá,30561,0,"0,00%"
Amalfi,22860,0,"0,00%"
Andes,47747,3,"0,01%"
Angelópolis,9631,0,"0,00%"
Angostura,10832,1,"0,01%"
Anorí,18166,2,"0,01%"
Santafé de Antioquia,25395,4,"0,02%"
Anza,7619,0,"0,00%"
Apartadó,206885,8,"0,00%"
Arboletes,45710,0,"0,00%"
Argelia,8036,8,"0,10%"
Armenia,3765,29,"0,77%"
Barbosa,53943,4,"0,01%"
Belmira,7041,0,"0,00%"
Bello,500098,27,"0,01%"
Betania,8758,0,"0,00%"
Betulia,17815,3,"0,02%"
Ciudad Bolívar,26434,2,"0,01%"
Briceño,8652,0,"0,00%"
Buriticá,6403,0,"0,00%"
Cáceres,43239,2,"0,00%"
Caicedo,8519,0,"0,00%"
Caldas,82234,4,"0,00%"
Campamento,8778,0,"0,00%"
Cañasgordas,16700,0,"0,00%"
Caracolí,4460,0,"0,00%"
Caramanta,5257,0,"0,00%"
Carepa,63141,1,"0,00%"
El Carmen de Viboral,49642,3,"0,01%"
Carolina,3428,0,"0,00%"
Caucasia,126161,7,"0,01%"
Chigorodó,86239,0,"0,00%"
Cisneros,8735,0,"0,00%"
Cocorná,14891,0,"0,00%"
Concepción,3030,1,"0,03%"
Concordia,20158,2,"0,01%"
Copacabana,74408,13,"0,02%"
Dabeiba,22835,0,"0,00%"
Don Matías,24695,0,"0,00%"
Ebéjico,12452,1,"0,01%"
El Bagre,51150,2,"0,00%"
Entrerrios,10696,0,"0,00%"
Envigado,249009,8,"0,00%"
Fredonia,20841,0,"0,00%"
Frontino,15099,0,"0,00%"
Giraldo,3937,0,"0,00%"
Girardota,60611,11,"0,02%"
Gómez Plata,13567,0,"0,00%"
Granada,9890,4,"0,04%"
Guadalupe,6330,4,"0,06%"
Guarne,52129,3,"0,01%"
Guatapé,4993,0,"0,00%"
Heliconia,5536,0,"0,00%"
Hispania,4895,1,"0,02%"
Itagui,282815,24,"0,01%"
Ituango,19222,1,"0,01%"
Jardín,13345,0,"0,00%"
Jericó,11679,2,"0,02%"
La Ceja,55843,1,"0,00%"
La Estrella,67254,15,"0,02%"
La Pintada,6289,1,"0,02%"
La Unión,19588,8,"0,04%"
Liborina,9601,2,"0,02%"
Maceo,6457,0,"0,00%"
Marinilla,57403,6,"0,01%"
Montebello,5589,1,"0,02%"
Murindó,5097,0,"0,00%"
Mutatá,22992,1,"0,00%"
Nariño,18313,0,"0,00%"
Necoclí,70824,0,"0,00%"
Nechí,29957,2,"0,01%"
Olaya,3411,2,"0,06%"
Peñol,15629,2,"0,01%"
Peque,11591,3,"0,03%"
Pueblorrico,6438,1,"0,02%"
Puerto Berrío,51079,3,"0,01%"
Puerto Nare,19545,2,"0,01%"
Puerto Triunfo,22161,0,"0,00%"
Remedios,32793,1,"0,00%"
Retiro,20080,3,"0,01%"
Rionegro,130108,9,"0,01%"
Sabanalarga,8191,3,"0,04%"
Sabaneta,55230,4,"0,01%"
Salgar,17249,5,"0,03%"
San Andrés de Cuerquía,5702,1,"0,02%"
San Carlos,16173,0,"0,00%"
San Francisco,4825,4,"0,08%"
San Jerónimo,13057,2,"0,02%"
San José de La Montaña,3511,0,"0,00%"
San Juan de Urabá,27659,0,"0,00%"
San Luis,10908,5,"0,05%"
San Pedro,28901,1,"0,00%"
San Pedro de Uraba,32564,0,"0,00%"
San Rafael,12704,0,"0,00%"
San Roque,16076,0,"0,00%"
San Vicente,16047,2,"0,01%"
Santa Bárbara,21238,1,"0,00%"
Santa Rosa de Osos,37864,2,"0,01%"
Santo Domingo,9808,1,"0,01%"
El Santuario,27359,2,"0,01%"
Segovia,42716,6,"0,01%"
Sonson,33598,0,"0,00%"
Sopetrán,15279,1,"0,01%"
Támesis,13890,1,"0,01%"
Tarazá,48926,5,"0,01%"
Tarso,8257,0,"0,00%"
Titiribí,14881,0,"0,00%"
Toledo,6842,0,"0,00%"
Turbo,181377,9,"0,00%"
Uramita,8194,0,"0,00%"
Urrao,47734,0,"0,00%"
Valdivia,25148,1,"0,00%"
Valparaíso,6061,1,"0,02%"
Vegachí,8613,0,"0,00%"
Venecia,13132,0,"0,00%"
Vigía del Fuerte,5624,0,"0,00%"
Yalí,8771,1,"0,01%"
Yarumal,49654,3,"0,01%"
Yolombó,26069,3,"0,01%"
Yondó,20524,3,"0,01%"
Zaragoza,32628,1,"0,00%"
Barranquilla,1239804,72,"0,01%"
Baranoa,60634,1,"0,00%"
Campo de La Cruz,14659,1,"0,01%"
Candelaria,12589,12,"0,10%"
Galapa,48799,2,"0,00%"
Juan de Acosta,17925,1,"0,01%"
Luruaco,28578,3,"0,01%"
Malambo,131083,9,"0,01%"
Manatí,16659,0,"0,00%"
Palmar de Varela,26021,1,"0,00%"
Piojó,5184,0,"0,00%"
Polonuevo,15876,1,"0,01%"
Ponedera,23913,1,"0,00%"
Puerto Colombia,26450,3,"0,01%"
Repelón,27770,2,"0,01%"
Sabanagrande,35044,0,"0,00%"
Sabanalarga,103325,3,"0,00%"
Santa Lucía,11094,0,"0,00%"
Santo Tomás,25878,2,"0,01%"
Soledad,700970,34,"0,00%"
Suan,8256,0,"0,00%"
Tubará,11001,0,"0,00%"
Usiacurí,9604,0,"0,00%"
"Bogotá, D.C.",8380801,500,"0,01%"
Cartagena,1057767,91,"0,01%"
Achí,25086,1,"0,00%"
Altos del Rosario,15034,2,"0,01%"
Arenal,21082,0,"0,00%"
Arjona,79472,4,"0,01%"
Arroyohondo,10573,0,"0,00%"
Barranco de Loba,19450,0,"0,00%"
Calamar,24877,3,"0,01%"
Cantagallo,10053,3,"0,03%"
Cicuco,11144,0,"0,00%"
Córdoba,12207,1,"0,01%"
Clemencia,13056,1,"0,01%"
El Carmen de Bolívar,79606,3,"0,00%"
El Guamo,7761,0,"0,00%"
El Peñón,10538,2,"0,02%"
Hatillo de Loba,12337,0,"0,00%"
Magangué,123986,9,"0,01%"
Mahates,27446,1,"0,00%"
Margarita,10341,0,"0,00%"
María La Baja,49774,3,"0,01%"
Montecristo,23853,1,"0,00%"
Mompós,45706,6,"0,01%"
Morales,22813,3,"0,01%"
Norosí (1),5063,0,"0,00%"
Pinillos,26211,0,"0,00%"
Regidor,11521,0,"0,00%"
Río Viejo (1)(3),19605,0,"0,00%"
San Cristóbal,6738,1,"0,01%"
San Estanislao,16761,0,"0,00%"
San Fernando,14221,0,"0,00%"
San Jacinto,21658,0,"0,00%"
San Jacinto del Cauca,14989,0,"0,00%"
San Juan Nepomuceno,34110,0,"0,00%"
San Martín de Loba,19296,0,"0,00%"
San Pablo,37160,4,"0,01%"
Santa Catalina,13795,0,"0,00%"
Santa Rosa,25237,3,"0,01%"
Santa Rosa del Sur,47085,1,"0,00%"
Simití,22012,1,"0,00%"
Soplaviento,8513,0,"0,00%"
Talaigua Nuevo,11501,2,"0,02%"
Tiquisio,24343,0,"0,00%"
Turbaco,77181,1,"0,00%"
Turbaná,15663,1,"0,01%"
Villanueva,20847,5,"0,02%"
Zambrano,11989,1,"0,01%"
Tunja,206791,10,"0,00%"
Almeida,1510,0,"0,00%"
Aquitania,14256,2,"0,01%"
Arcabuco,5251,1,"0,02%"
Belén,6680,0,"0,00%"
Berbeo,1943,0,"0,00%"
Betéitiva,1840,0,"0,00%"
Boavita,6296,0,"0,00%"
Boyacá,4185,0,"0,00%"
Briceño,2506,0,"0,00%"
Buenavista,5724,0,"0,00%"
Busbanzá,1324,1,"0,08%"
Caldas,3424,4,"0,12%"
Campohermoso,3711,0,"0,00%"
Cerinza,3487,0,"0,00%"
Chinavita,3370,0,"0,00%"
Chiquinquirá,70127,2,"0,00%"
Chiscas,3810,0,"0,00%"
Chita,8946,1,"0,01%"
Chitaraque,5204,0,"0,00%"
Chivatá,6851,0,"0,00%"
Ciénega,4428,0,"0,00%"
Cómbita,15533,1,"0,01%"
Coper,3405,1,"0,03%"
Corrales,2157,0,"0,00%"
Covarachía,2650,0,"0,00%"
Cubará,6743,1,"0,01%"
Cucaita,4703,0,"0,00%"
Cuítiva,1829,0,"0,00%"
Chíquiza,5209,0,"0,00%"
Chivor,1601,0,"0,00%"
Duitama,114877,5,"0,00%"
El Cocuy,5041,0,"0,00%"
El Espino,4230,0,"0,00%"
Firavitoba,5694,0,"0,00%"
Floresta,4281,0,"0,00%"
Gachantivá,2449,0,"0,00%"
Gameza,4468,0,"0,00%"
Garagoa,17118,0,"0,00%"
Guacamayas,1518,0,"0,00%"
Guateque,9294,1,"0,01%"
Guayatá,4555,2,"0,04%"
Güicán,6426,1,"0,02%"
Iza,2463,0,"0,00%"
Jenesano,7725,1,"0,01%"
Jericó,3689,2,"0,05%"
Labranzagrande,4931,0,"0,00%"
La Capilla,2317,0,"0,00%"
La Victoria,1673,3,"0,18%"
